ID_protein	gene	gene_name	PE	SV
tr|F6TE72|F6TE72_CIOIN	Protein kinase domain-containing protein		PE=4	SV=2
tr|F6TEH9|F6TEH9_CIOIN	RRM domain-containing protein		PE=4	SV=2
tr|F6TEI5|F6TEI5_CIOIN	HECT domain-containing protein		PE=4	SV=2
tr|F6TEJ9|F6TEJ9_CIOIN	Sorting nexin protein WASP-binding domain-containing protein		PE=4	SV=2
tr|F6TEM5|F6TEM5_CIOIN	C2H2-type domain-containing protein		PE=4	SV=2
tr|F6TEN3|F6TEN3_CIOIN	Uncharacterized protein		PE=3	SV=2
tr|F6TEQ0|F6TEQ0_CIOIN	Ras-related protein O-RAL	LOC100185283	PE=4	SV=2
tr|F6TEQ5|F6TEQ5_CIOIN	Uncharacterized protein		PE=4	SV=2
tr|F6TER2|F6TER2_CIOIN	Protein kinase domain-containing protein		PE=4	SV=2
tr|F6TES8|F6TES8_CIOIN	CHAT domain-containing protein		PE=4	SV=2
tr|F6TEX2|F6TEX2_CIOIN	Ribosomal protein L4		PE=3	SV=2
tr|F6TEX9|F6TEX9_CIOIN	Tetraspanin		PE=3	SV=2
tr|F6TF00|F6TF00_CIOIN	Membrane-spanning 4-domains subfamily A member 18-like	LOC100178286	PE=3	SV=1
tr|F6TF16|F6TF16_CIOIN	Uncharacterized LOC100186170	LOC100186170	PE=3	SV=1
tr|F6TF71|F6TF71_CIOIN	Uncharacterized protein		PE=4	SV=1
tr|F6TF77|F6TF77_CIOIN	Uncharacterized protein		PE=4	SV=1
tr|F6TF85|F6TF85_CIOIN	BLTP2/FMP27/Hobbit C-terminal domain-containing protein		PE=4	SV=2
tr|F6TF93|F6TF93_CIOIN	Uncharacterized protein		PE=4	SV=2
tr|F6TFA5|F6TFA5_CIOIN	Uncharacterized LOC100176079	LOC100176079	PE=3	SV=2
tr|F6TFC4|F6TFC4_CIOIN	LRRNT domain-containing protein		PE=4	SV=2
tr|F6TFE5|F6TFE5_CIOIN	Sodium/nucleoside cotransporter		PE=3	SV=2
tr|F6TFG0|F6TFG0_CIOIN	Uncharacterized protein		PE=4	SV=1
tr|F6TFU0|F6TFU0_CIOIN	Lysophospholipid acyltransferase 7-like	LOC100184496	PE=4	SV=2
tr|F6TFW1|F6TFW1_CIOIN	RING-type domain-containing protein		PE=4	SV=2
tr|F6TG17|F6TG17_CIOIN	Uncharacterized protein		PE=4	SV=2
tr|F6TG38|F6TG38_CIOIN	Self-marker protein		PE=4	SV=2
tr|F6TGA3|F6TGA3_CIOIN	Self-marker protein		PE=4	SV=2
tr|F6TGA7|F6TGA7_CIOIN	Polyamine-modulated factor 1-binding protein 1	LOC100185826	PE=4	SV=2
tr|F6TGC0|F6TGC0_CIOIN	RING-type domain-containing protein		PE=4	SV=2
tr|F6TGC8|F6TGC8_CIOIN	C-type mannose receptor 2	LOC100176419	PE=4	SV=2
tr|F6TGD6|F6TGD6_CIOIN	C-type mannose receptor 2	LOC100176419	PE=4	SV=2
tr|F6TGF6|F6TGF6_CIOIN	Endothelin-converting enzyme 1		PE=4	SV=2
tr|F6TGG6|F6TGG6_CIOIN	ABC transporter domain-containing protein		PE=4	SV=2
tr|F6TGH1|F6TGH1_CIOIN	ATP-binding cassette sub-family F member 3	LOC101243528	PE=4	SV=2
tr|F6TGJ7|F6TGJ7_CIOIN	Uncharacterized protein		PE=4	SV=2
tr|F6TGV4|F6TGV4_CIOIN	Dymeclin	LOC100178029	PE=3	SV=2
tr|F6TGY3|F6TGY3_CIOIN	Centrosome-associated FAM110 C-terminal domain-containing protein		PE=3	SV=2
tr|F6TGZ0|F6TGZ0_CIOIN	Uncharacterized protein		PE=4	SV=2
tr|F6TH13|F6TH13_CIOIN	DUF4706 domain-containing protein		PE=4	SV=2
tr|F6TH41|F6TH41_CIOIN	Tetratricopeptide repeat protein 17-like	LOC100177291	PE=4	SV=2
tr|F6TH49|F6TH49_CIOIN	Serpin domain-containing protein		PE=4	SV=2
tr|F6TH72|F6TH72_CIOIN	EGF-like domain-containing protein		PE=4	SV=2
tr|F6THA9|F6THA9_CIOIN	Tctex1 domain-containing protein 2-like	LOC100180883	PE=3	SV=1
tr|F6THB4|F6THB4_CIOIN	Uncharacterized protein		PE=4	SV=2
tr|F6THC9|F6THC9_CIOIN	"Propionyl-CoA carboxylase beta chain, mitochondrial"		PE=4	SV=2
tr|F6THE4|F6THE4_CIOIN	Timeless N-terminal domain-containing protein		PE=3	SV=2
tr|F6THG7|F6THG7_CIOIN	Uncharacterized protein		PE=4	SV=2
tr|F6THJ2|F6THJ2_CIOIN	Uncharacterized protein		PE=4	SV=2
tr|F6THM1|F6THM1_CIOIN	Uncharacterized protein		PE=4	SV=2
tr|F6THQ0|F6THQ0_CIOIN	G-protein coupled receptors family 1 profile domain-containing protein		PE=4	SV=2
tr|F6THR3|F6THR3_CIOIN	Major facilitator superfamily (MFS) profile domain-containing protein		PE=4	SV=2
tr|F6THS9|F6THS9_CIOIN	Tyrosinase copper-binding domain-containing protein		PE=3	SV=2
tr|F6THT6|F6THT6_CIOIN	Major facilitator superfamily (MFS) profile domain-containing protein		PE=4	SV=2
tr|F6THY1|F6THY1_CIOIN	Pellino		PE=3	SV=2
tr|F6THZ9|F6THZ9_CIOIN	Uncharacterized protein		PE=4	SV=2
tr|F6TI06|F6TI06_CIOIN	Major facilitator superfamily (MFS) profile domain-containing protein		PE=4	SV=2
tr|F6TI21|F6TI21_CIOIN	Polycystin cation channel PKD1/PKD2 domain-containing protein		PE=4	SV=2
tr|F6TI46|F6TI46_CIOIN	Uncharacterized protein		PE=4	SV=2
tr|F6TI62|F6TI62_CIOIN	Uncharacterized protein		PE=4	SV=1
tr|F6TI75|F6TI75_CIOIN	GBD/FH3 domain-containing protein		PE=4	SV=2
tr|F6TI93|F6TI93_CIOIN	Uncharacterized protein		PE=4	SV=2
tr|F6TIA8|F6TIA8_CIOIN	Methyltransferase domain-containing protein		PE=4	SV=2
tr|F6TIF9|F6TIF9_CIOIN	RNA helicase		PE=4	SV=2
tr|F6TIH0|F6TIH0_CIOIN	Organic solute transporter subunit alpha-like	LOC100183825	PE=4	SV=2
tr|F6TIJ2|F6TIJ2_CIOIN	NAD-dependent epimerase/dehydratase domain-containing protein		PE=4	SV=2
tr|F6TIK7|F6TIK7_CIOIN	MIF4G domain-containing protein		PE=4	SV=2
tr|F6TIT1|F6TIT1_CIOIN	Protein cornichon homolog 4	LOC100184829	PE=3	SV=1
tr|F6TIT7|F6TIT7_CIOIN	Sterile alpha motif domain-containing protein 12-like	LOC100185034	PE=4	SV=1
tr|F6TIW9|F6TIW9_CIOIN	RRM domain-containing protein		PE=3	SV=2
tr|F6TIX8|F6TIX8_CIOIN	CTCK domain-containing protein		PE=4	SV=2
tr|F6TJ09|F6TJ09_CIOIN	Sulfatase N-terminal domain-containing protein		PE=4	SV=2
tr|F6TJ37|F6TJ37_CIOIN	Spermine oxidase-like	LOC100183817	PE=4	SV=2
tr|F6TJ44|F6TJ44_CIOIN	RING finger protein 219	LOC100185382	PE=4	SV=2
tr|F6TJ56|F6TJ56_CIOIN	Uncharacterized protein		PE=4	SV=2
tr|F6TJ64|F6TJ64_CIOIN	RNA-binding protein PNO1	LOC100180019	PE=4	SV=2
tr|F6TJ96|F6TJ96_CIOIN	Centrosomal protein of 135 kDa		PE=4	SV=2
tr|F6TJA8|F6TJA8_CIOIN	Coiled-coil domain-containing protein 134	LOC100179157	PE=4	SV=1
tr|F6TJI3|F6TJI3_CIOIN	FERM domain-containing protein		PE=4	SV=2
tr|F6TJN1|F6TJN1_CIOIN	Cysteine-rich motor neuron 1 protein		PE=4	SV=2
tr|F6TJQ3|F6TJQ3_CIOIN	Major facilitator superfamily (MFS) profile domain-containing protein		PE=4	SV=2
tr|F6TJS2|F6TJS2_CIOIN	Sodium/bile acid cotransporter 7	LOC100184617	PE=3	SV=2
tr|F6TJS8|F6TJS8_CIOIN	Uncharacterized protein		PE=4	SV=2
tr|F6TJU4|F6TJU4_CIOIN	Uncharacterized protein		PE=4	SV=2
tr|F6TJW6|F6TJW6_CIOIN	Histone deacetylase interacting domain-containing protein		PE=4	SV=2
tr|F6TJZ3|F6TJZ3_CIOIN	Uncharacterized LOC100186233	LOC100186233	PE=4	SV=2
tr|F6TK09|F6TK09_CIOIN	Zinc finger CCCH domain-containing protein 10	LOC100175198	PE=4	SV=2
tr|F6TK16|F6TK16_CIOIN	Very-long-chain 3-oxoacyl-CoA reductase-like	LOC100176329	PE=3	SV=2
tr|F6TK42|F6TK42_CIOIN	guanylate cyclase		PE=4	SV=2
tr|F6TK51|F6TK51_CIOIN	BRCT domain-containing protein		PE=4	SV=2
tr|F6TK65|F6TK65_CIOIN	PAX-interacting protein 1	LOC108949301	PE=4	SV=2
tr|F6TK98|F6TK98_CIOIN	Uncharacterized LOC100177726	LOC100177726	PE=4	SV=2
tr|F6TKA5|F6TKA5_CIOIN	Actin-related protein 6		PE=3	SV=2
tr|F6TKE5|F6TKE5_CIOIN	guanylate cyclase		PE=4	SV=1
tr|F6TKK5|F6TKK5_CIOIN	Uncharacterized LOC100177141	LOC100177141	PE=4	SV=1
tr|F6TKR9|F6TKR9_CIOIN	L-threonine 3-dehydrogenase-like	LOC100180278	PE=3	SV=1
tr|F6TKT6|F6TKT6_CIOIN	C-type lectin domain-containing protein		PE=4	SV=2
tr|F6TKV3|F6TKV3_CIOIN	Transketolase-like pyrimidine-binding domain-containing protein		PE=3	SV=2
tr|F6TKW7|F6TKW7_CIOIN	Uromodulin-like	LOC100184877	PE=4	SV=2
tr|F6TL28|F6TL28_CIOIN	Uncharacterized protein		PE=4	SV=1
tr|F6TL82|F6TL82_CIOIN	Monocarboxylate transporter 12-like	LOC100184193	PE=4	SV=2
tr|F6TLB6|F6TLB6_CIOIN	Ras-GAP domain-containing protein		PE=4	SV=2
tr|F6TLD5|F6TLD5_CIOIN	Uncharacterized protein		PE=3	SV=2
tr|F6TLI7|F6TLI7_CIOIN	MAM domain-containing protein		PE=4	SV=2
tr|F6TLJ7|F6TLJ7_CIOIN	Ras GTPase-activating protein 1		PE=4	SV=2
tr|F6TLL4|F6TLL4_CIOIN	Spermidine synthase	LOC100176863	PE=3	SV=2
tr|F6TLM1|F6TLM1_CIOIN	Uncharacterized protein		PE=4	SV=2
tr|F6TLU2|F6TLU2_CIOIN	Arylsulfatase B-like	LOC100187202	PE=3	SV=2
tr|F6TLV8|F6TLV8_CIOIN	Uncharacterized LOC100183365	LOC100183365	PE=4	SV=2
tr|F6TLY6|F6TLY6_CIOIN	Uncharacterized protein		PE=4	SV=2
tr|F6TM04|F6TM04_CIOIN	G domain-containing protein		PE=4	SV=2
tr|F6TM37|F6TM37_CIOIN	Transporter		PE=4	SV=2
tr|F6TM52|F6TM52_CIOIN	L-fucokinase domain-containing protein		PE=4	SV=2
tr|F6TM93|F6TM93_CIOIN	Hexosyltransferase		PE=4	SV=2
tr|F6TMB6|F6TMB6_CIOIN	Ras-related protein RABA2b-like	LOC100184914	PE=4	SV=2
tr|F6TME4|F6TME4_CIOIN	PLAT domain-containing protein		PE=4	SV=1
tr|F6TMF8|F6TMF8_CIOIN	Zinc finger protein		PE=4	SV=1
tr|F6TMG7|F6TMG7_CIOIN	Hippocalcin-like protein 4	LOC100176875	PE=4	SV=1
tr|F6TMJ1|F6TMJ1_CIOIN	Uncharacterized LOC100176287	LOC100176287	PE=4	SV=1
tr|F6TMT5|F6TMT5_CIOIN	Ubiquitin-conjugating enzyme E2 G1	LOC100182334	PE=3	SV=2
tr|F6TMU5|F6TMU5_CIOIN	Uncharacterized protein		PE=4	SV=2
tr|F6TMW1|F6TMW1_CIOIN	Uncharacterized protein		PE=4	SV=2
tr|F6TMW8|F6TMW8_CIOIN	Major facilitator superfamily (MFS) profile domain-containing protein		PE=4	SV=2
tr|F6TMY0|F6TMY0_CIOIN	EF-hand domain-containing protein		PE=4	SV=2
tr|F6TMY9|F6TMY9_CIOIN	Uncharacterized protein		PE=3	SV=2
tr|F6TN36|F6TN36_CIOIN	MIF4G domain-containing protein		PE=4	SV=2
tr|F6TN58|F6TN58_CIOIN	Uncharacterized LOC100185119	LOC100185119	PE=4	SV=2
tr|F6TN85|F6TN85_CIOIN	Ryncolin-4	LOC100175128	PE=4	SV=2
tr|F6TN93|F6TN93_CIOIN	"39S ribosomal protein L17, mitochondrial"		PE=4	SV=2
tr|F6TNB9|F6TNB9_CIOIN	Uncharacterized protein		PE=4	SV=2
tr|F6TND1|F6TND1_CIOIN	Uncharacterized LOC100177894	LOC100177894	PE=4	SV=1
tr|F6TND9|F6TND9_CIOIN	BTB domain-containing protein		PE=4	SV=2
tr|F6TNG0|F6TNG0_CIOIN	Uncharacterized protein		PE=4	SV=2
tr|F6TNK4|F6TNK4_CIOIN	BTB domain-containing protein		PE=4	SV=2
tr|F6TNM2|F6TNM2_CIOIN	Uncharacterized protein		PE=4	SV=2
tr|F6TNN9|F6TNN9_CIOIN	RRM domain-containing protein		PE=4	SV=2
tr|F6TNP4|F6TNP4_CIOIN	Laminin G domain-containing protein		PE=4	SV=2
tr|F6TNQ8|F6TNQ8_CIOIN	MAM domain-containing protein		PE=4	SV=2
tr|F6TNT4|F6TNT4_CIOIN	La-related protein 6	LOC100178604	PE=4	SV=2
tr|F6TNV1|F6TNV1_CIOIN	Melatonin receptor type 1B-A-like	LOC100186500	PE=3	SV=2
tr|F6TNV5|F6TNV5_CIOIN	Eukaryotic translation elongation factor 1 epsilon-1-like	LOC100184121	PE=4	SV=2
tr|F6TNX0|F6TNX0_CIOIN	Organic cation transporter protein-like	LOC100182916	PE=4	SV=2
tr|F6TNY9|F6TNY9_CIOIN	Sushi domain-containing protein		PE=4	SV=2
tr|F6TP42|F6TP42_CIOIN	Uncharacterized protein		PE=4	SV=2
tr|F6TP68|F6TP68_CIOIN	Deleted in lung and esophageal cancer protein 1		PE=4	SV=2
tr|F6TP91|F6TP91_CIOIN	Uncharacterized protein		PE=4	SV=2
tr|F6TPB1|F6TPB1_CIOIN	Uncharacterized LOC100178921	LOC100178921	PE=3	SV=2
tr|F6TPC0|F6TPC0_CIOIN	Uncharacterized LOC104265579	LOC104265579	PE=4	SV=2
tr|F6TPC7|F6TPC7_CIOIN	SRCR domain-containing protein		PE=4	SV=2
tr|F6TPI3|F6TPI3_CIOIN	Testis-expressed sequence 9 protein		PE=4	SV=2
tr|F6TPM4|F6TPM4_CIOIN	FAM86 N-terminal domain-containing protein		PE=3	SV=2
tr|F6TPU2|F6TPU2_CIOIN	Uncharacterized protein		PE=4	SV=2
tr|F6TPU9|F6TPU9_CIOIN	Uncharacterized protein		PE=4	SV=2
tr|F6TPY1|F6TPY1_CIOIN	G-protein coupled receptors family 2 profile 2 domain-containing protein		PE=4	SV=2
tr|F6TQ29|F6TQ29_CIOIN	UPAR/Ly6 domain-containing protein		PE=4	SV=2
tr|F6TQ49|F6TQ49_CIOIN	Uncharacterized protein		PE=4	SV=2
tr|F6TQ69|F6TQ69_CIOIN	Importin-7	LOC100175483	PE=4	SV=2
tr|F6TQ79|F6TQ79_CIOIN	Sperm-associated antigen 16 protein	LOC100178079	PE=4	SV=2
tr|F6TQB3|F6TQB3_CIOIN	CUB domain-containing protein		PE=4	SV=2
tr|F6TQR9|F6TQR9_CIOIN	Decaprenyl-diphosphate synthase subunit 2-like	LOC113474070	PE=3	SV=2
tr|F6TR30|F6TR30_CIOIN	Uncharacterized protein		PE=3	SV=2
tr|F6TR45|F6TR45_CIOIN	Kelch domain-containing protein 2	LOC100178727	PE=4	SV=2
tr|F6TRD0|F6TRD0_CIOIN	Uncharacterized protein		PE=4	SV=2
tr|F6TRF3|F6TRF3_CIOIN	ZP domain-containing protein		PE=4	SV=2
tr|F6TRI9|F6TRI9_CIOIN	Uncharacterized protein		PE=4	SV=2
tr|F6TRT4|F6TRT4_CIOIN	Synaptonemal complex protein 2 armadillo-repeat-like domain-containing protein		PE=4	SV=2
tr|F6TS15|F6TS15_CIOIN	SWIM-type domain-containing protein		PE=4	SV=2
tr|F6TS58|F6TS58_CIOIN	Nuclease HARBI1		PE=4	SV=2
tr|F6TS80|F6TS80_CIOIN	Uncharacterized protein		PE=3	SV=2
tr|F6TS86|F6TS86_CIOIN	Choline/carnitine acyltransferase domain-containing protein		PE=3	SV=2
tr|F6TS99|F6TS99_CIOIN	Adhesion G protein-coupled receptor L3-like	LOC100180323	PE=4	SV=1
tr|F6TSD7|F6TSD7_CIOIN	Uncharacterized LOC100186109	LOC100186109	PE=4	SV=2
tr|F6TSE4|F6TSE4_CIOIN	Dynein heavy chain tail domain-containing protein		PE=4	SV=2
tr|F6TSF9|F6TSF9_CIOIN	Uncharacterized LOC104266775	LOC104266775	PE=4	SV=1
tr|F6TSG6|F6TSG6_CIOIN	Uncharacterized protein		PE=4	SV=2
tr|F6TSM0|F6TSM0_CIOIN	Uncharacterized protein		PE=4	SV=2
tr|F6TSM9|F6TSM9_CIOIN	Transforming acidic coiled-coil-containing protein C-terminal domain-containing protein		PE=4	SV=2
tr|F6TSN4|F6TSN4_CIOIN	Uncharacterized protein		PE=4	SV=2
tr|F6TSR2|F6TSR2_CIOIN	Galectin		PE=4	SV=2
tr|F6TSS8|F6TSS8_CIOIN	N-terminal Xaa-Pro-Lys N-methyltransferase 1		PE=3	SV=2
tr|F6TST6|F6TST6_CIOIN	Metallo-beta-lactamase domain-containing protein		PE=3	SV=2
tr|F6TSV2|F6TSV2_CIOIN	SEC7 domain-containing protein		PE=4	SV=2
tr|F6TSW4|F6TSW4_CIOIN	Sulfotransferase		PE=3	SV=2
tr|F6TSZ2|F6TSZ2_CIOIN	GT23 domain-containing protein		PE=3	SV=2
tr|F6TT12|F6TT12_CIOIN	Uncharacterized protein		PE=4	SV=2
tr|F6TT18|F6TT18_CIOIN	Tropomyosin alpha-3 chain	LOC100175596	PE=3	SV=2
tr|F6TT24|F6TT24_CIOIN	Uncharacterized protein		PE=4	SV=2
tr|F6TT30|F6TT30_CIOIN	Cytidyltransferase-like domain-containing protein		PE=4	SV=1
tr|F6TT48|F6TT48_CIOIN	Uncharacterized protein		PE=4	SV=2
tr|F6TT65|F6TT65_CIOIN	Uncharacterized protein		PE=4	SV=2
tr|F6TT96|F6TT96_CIOIN	Uncharacterized protein		PE=4	SV=2
tr|F6TTA3|F6TTA3_CIOIN	Uncharacterized LOC100179987	LOC100179987	PE=4	SV=1
tr|F6TTB4|F6TTB4_CIOIN	C-type lectin domain-containing protein		PE=4	SV=2
tr|F6TTC3|F6TTC3_CIOIN	Leucine-rich repeat-containing protein 57		PE=4	SV=2
tr|F6TTF4|F6TTF4_CIOIN	G2/mitotic-specific cyclin-A-like	LOC100187071	PE=3	SV=2
tr|F6TTG1|F6TTG1_CIOIN	Uncharacterized protein		PE=4	SV=2
tr|F6TTH0|F6TTH0_CIOIN	Fibronectin type-III domain-containing protein		PE=4	SV=2
tr|F6TTJ0|F6TTJ0_CIOIN	Uncharacterized protein		PE=4	SV=1
tr|F6TTJ7|F6TTJ7_CIOIN	MOSC domain-containing protein		PE=4	SV=2
tr|F6TTN6|F6TTN6_CIOIN	Tetraspanin	LOC100185551	PE=3	SV=2
tr|F6TTP5|F6TTP5_CIOIN	Uncharacterized protein		PE=4	SV=2
tr|F6TTQ6|F6TTQ6_CIOIN	Tetraspanin	LOC100175363	PE=3	SV=1
tr|F6TTV2|F6TTV2_CIOIN	Uncharacterized protein		PE=4	SV=1
tr|F6TTX9|F6TTX9_CIOIN	LRRNT domain-containing protein		PE=4	SV=2
tr|F6TU12|F6TU12_CIOIN	Uncharacterized protein		PE=4	SV=1
tr|F6TU78|F6TU78_CIOIN	25S rRNA (uridine-N(3))-methyltransferase BMT5-like domain-containing protein		PE=4	SV=2
tr|F6TUA3|F6TUA3_CIOIN	Fibrinogen C-terminal domain-containing protein		PE=4	SV=2
tr|F6TUB6|F6TUB6_CIOIN	Uncharacterized LOC100185483	LOC100185483	PE=4	SV=2
tr|F6TUC0|F6TUC0_CIOIN	Uncharacterized protein		PE=4	SV=2
tr|F6TUF1|F6TUF1_CIOIN	Uncharacterized protein		PE=4	SV=2
tr|F6TUJ2|F6TUJ2_CIOIN	Uncharacterized protein		PE=4	SV=2
tr|F6TUM1|F6TUM1_CIOIN	SH3 domain-containing protein		PE=4	SV=2
tr|F6TUP4|F6TUP4_CIOIN	Uncharacterized protein		PE=4	SV=1
tr|F6TUQ2|F6TUQ2_CIOIN	Transmembrane protein 56-like	LOC100182627	PE=4	SV=2
tr|F6TUR9|F6TUR9_CIOIN	VWFA domain-containing protein		PE=4	SV=1
tr|F6TUU8|F6TUU8_CIOIN	Uncharacterized protein		PE=3	SV=2
tr|F6TUX6|F6TUX6_CIOIN	Uncharacterized protein		PE=4	SV=2
tr|F6TUZ0|F6TUZ0_CIOIN	Uncharacterized protein		PE=4	SV=2
tr|F6TV13|F6TV13_CIOIN	Sulfotransferase		PE=3	SV=2
tr|F6TV26|F6TV26_CIOIN	ATP synthase F1 subunit delta	LOC101243330	PE=3	SV=1
tr|F6TV34|F6TV34_CIOIN	Sulfatase-modifying factor enzyme domain-containing protein		PE=3	SV=2
tr|F6TV42|F6TV42_CIOIN	Zygote arrest protein 1-like	LOC100181810	PE=4	SV=2
tr|F6TV58|F6TV58_CIOIN	BLOC-1-related complex subunit 5		PE=4	SV=2
tr|F6TVB5|F6TVB5_CIOIN	Uncharacterized protein		PE=4	SV=2
tr|F6TVG3|F6TVG3_CIOIN	"Type I inositol 1,4,5-trisphosphate 5-phosphatase-like"	LOC100178482	PE=4	SV=2
tr|F6TVI5|F6TVI5_CIOIN	Uncharacterized LOC101242403	LOC101242403	PE=3	SV=2
tr|F6TVK0|F6TVK0_CIOIN	Ran-binding protein 3	LOC100182216	PE=4	SV=1
tr|F6TVK8|F6TVK8_CIOIN	Uncharacterized protein		PE=4	SV=2
tr|F6TVM0|F6TVM0_CIOIN	Serine/threonine/tyrosine-interacting protein-like	LOC100177439	PE=4	SV=2
tr|F6TVN3|F6TVN3_CIOIN	Lathosterol oxidase-like	LOC100175543	PE=4	SV=2
tr|F6TVR4|F6TVR4_CIOIN	PDZ domain-containing protein		PE=4	SV=1
tr|F6TVR8|F6TVR8_CIOIN	Calx-beta domain-containing protein		PE=4	SV=1
tr|F6TVS6|F6TVS6_CIOIN	"NAD-dependent protein lipoamidase sirtuin-4, mitochondrial"	LOC778889	PE=4	SV=2
tr|F6TVX8|F6TVX8_CIOIN	"Solute carrier family 2, facilitated glucose transporter member 1-like"	LOC100185344	PE=3	SV=2
tr|F6TVY6|F6TVY6_CIOIN	Down syndrome critical region protein 3 homolog	LOC100186572	PE=3	SV=1
tr|F6TVZ8|F6TVZ8_CIOIN	Uncharacterized protein		PE=3	SV=2
tr|F6TW28|F6TW28_CIOIN	Calx-beta domain-containing protein		PE=4	SV=1
tr|F6TWD2|F6TWD2_CIOIN	RUN domain-containing protein		PE=4	SV=2
tr|F6TWI9|F6TWI9_CIOIN	Uncharacterized protein		PE=4	SV=1
tr|F6TWK8|F6TWK8_CIOIN	Kelch-like protein 41	LOC100175568	PE=4	SV=2
tr|F6TWQ7|F6TWQ7_CIOIN	Methionine synthase reductase-like	LOC100182690	PE=4	SV=1
tr|F6TWS7|F6TWS7_CIOIN	Uncharacterized protein		PE=3	SV=2
tr|F6TWW4|F6TWW4_CIOIN	Uncharacterized protein		PE=4	SV=1
tr|F6TWX3|F6TWX3_CIOIN	Fibronectin-like	LOC100176823	PE=4	SV=1
tr|F6TWX7|F6TWX7_CIOIN	26S proteasome regulatory subunit 6B	LOC100184190	PE=3	SV=1
tr|F6TWZ0|F6TWZ0_CIOIN	Uncharacterized protein		PE=4	SV=1
tr|F6TX05|F6TX05_CIOIN	Amino acid transporter transmembrane domain-containing protein		PE=4	SV=2
tr|F6TX13|F6TX13_CIOIN	Nucleoporin p58/p45	LOC100182924	PE=4	SV=1
tr|F6TX28|F6TX28_CIOIN	Ubiquitin-like domain-containing protein		PE=4	SV=2
tr|F6TX56|F6TX56_CIOIN	"Elongation factor Tu, mitochondrial"		PE=3	SV=2
tr|F6TX66|F6TX66_CIOIN	3 beta-hydroxysteroid dehydrogenase type 7-like	LOC100175469	PE=3	SV=2
tr|F6TX70|F6TX70_CIOIN	3-beta hydroxysteroid dehydrogenase/isomerase domain-containing protein		PE=3	SV=2
tr|F6TX79|F6TX79_CIOIN	SAM domain-containing protein		PE=4	SV=2
tr|F6TXE7|F6TXE7_CIOIN	Uncharacterized protein		PE=4	SV=2
tr|F6TXG4|F6TXG4_CIOIN	Solute carrier family 22 member 4-like	LOC100181802	PE=4	SV=1
tr|F6TXH2|F6TXH2_CIOIN	RIIa domain-containing protein		PE=4	SV=2
tr|F6TXI5|F6TXI5_CIOIN	Uncharacterized protein		PE=3	SV=2
tr|F6TXL4|F6TXL4_CIOIN	Uncharacterized protein		PE=4	SV=2
tr|F6TXZ0|F6TXZ0_CIOIN	Uncharacterized protein		PE=4	SV=2
tr|F6TY07|F6TY07_CIOIN	Uncharacterized protein		PE=4	SV=2
tr|F6TY12|F6TY12_CIOIN	Uncharacterized protein		PE=4	SV=1
tr|F6TY25|F6TY25_CIOIN	Uncharacterized protein		PE=4	SV=2
tr|F6TY64|F6TY64_CIOIN	Zinc finger PHD-type domain-containing protein		PE=4	SV=2
tr|F6TY79|F6TY79_CIOIN	Organic cation transporter protein-like	LOC100186620	PE=4	SV=2
tr|F6TY87|F6TY87_CIOIN	LRRCT domain-containing protein		PE=4	SV=1
tr|F6TYB0|F6TYB0_CIOIN	BRCT domain-containing protein		PE=4	SV=2
tr|F6TYD1|F6TYD1_CIOIN	Uncharacterized protein		PE=4	SV=1
tr|F6TYE9|F6TYE9_CIOIN	RRM domain-containing protein		PE=4	SV=2
tr|F6TYH2|F6TYH2_CIOIN	Uncharacterized LOC100178130	LOC100178130	PE=4	SV=1
tr|F6TYH8|F6TYH8_CIOIN	Uncharacterized protein		PE=4	SV=1
tr|F6TYP3|F6TYP3_CIOIN	Major facilitator superfamily (MFS) profile domain-containing protein		PE=4	SV=2
tr|F6TYP7|F6TYP7_CIOIN	Uncharacterized LOC100181188	LOC100181188	PE=4	SV=1
tr|F6TYR4|F6TYR4_CIOIN	Uncharacterized protein		PE=4	SV=2
tr|F6TYT2|F6TYT2_CIOIN	Uncharacterized protein		PE=4	SV=2
tr|F6TYU6|F6TYU6_CIOIN	WD repeat-containing protein on Y chromosome-like	LOC100177422	PE=4	SV=2
tr|F6TYZ7|F6TYZ7_CIOIN	Galactosylceramide sulfotransferase		PE=3	SV=2
tr|F6TZ66|F6TZ66_CIOIN	Uncharacterized protein		PE=4	SV=2
tr|F6TZ79|F6TZ79_CIOIN	Acyl-CoA oxidase/dehydrogenase middle domain-containing protein		PE=4	SV=2
tr|F6TZ93|F6TZ93_CIOIN	Uncharacterized protein		PE=4	SV=1
tr|F6TZA0|F6TZA0_CIOIN	JmjC domain-containing protein		PE=4	SV=2
tr|F6TZA7|F6TZA7_CIOIN	Armadillo segment polarity protein		PE=3	SV=2
tr|F6TZB4|F6TZB4_CIOIN	Uncharacterized protein		PE=4	SV=2
tr|F6TZB8|F6TZB8_CIOIN	Uncharacterized protein		PE=4	SV=1
tr|F6TZG1|F6TZG1_CIOIN	Sulfatase N-terminal domain-containing protein		PE=3	SV=2
tr|F6TZH8|F6TZH8_CIOIN	ZP domain-containing protein		PE=4	SV=2
tr|F6TZK2|F6TZK2_CIOIN	Uncharacterized protein		PE=4	SV=2
tr|F6TZM3|F6TZM3_CIOIN	G-protein coupled receptors family 1 profile domain-containing protein		PE=4	SV=2
tr|F6TZN0|F6TZN0_CIOIN	Uncharacterized protein		PE=4	SV=2
